segment_variable,group,n,question_number,scale_type,item,mean,pct_1_2,pct_4_5,pct_5,net
Tenure (combined),10-15 years,122,34,importance,AI in WordPress,2.62,50.0,32.8,15.6,-17.2
Tenure (combined),6-10 years,56,34,importance,AI in WordPress,2.64,46.4,35.7,8.9,-10.7
Tenure (combined),3-6 years,29,34,importance,AI in WordPress,2.41,48.3,24.1,6.9,-24.1
Tenure (combined),1-2 years,15,34,importance,AI in WordPress,1.93,66.7,13.3,13.3,-53.3
Tenure (combined),All respondents,431,34,importance,Security in WordPress,4.68,1.4,95.1,75.6,93.7
Tenure (combined),15+ years,135,34,importance,Security in WordPress,4.73,0.7,96.3,78.5,95.6
Tenure (combined),10-15 years,122,34,importance,Security in WordPress,4.58,2.5,91.0,71.3,88.5
Tenure (combined),6-10 years,56,34,importance,Security in WordPress,4.7,0.0,100.0,69.6,100.0
Tenure (combined),3-6 years,29,34,importance,Security in WordPress,4.79,0.0,100.0,79.3,100.0
Tenure (combined),1-2 years,15,34,importance,Security in WordPress,4.73,0.0,93.3,80.0,93.3
Tenure (combined),All respondents,431,34,importance,Web standards and compliance,4.57,1.6,93.7,65.9,92.1
Tenure (combined),15+ years,135,34,importance,Web standards and compliance,4.66,0.7,97.0,70.4,96.3
Tenure (combined),10-15 years,122,34,importance,Web standards and compliance,4.52,3.3,93.4,63.1,90.2
Tenure (combined),6-10 years,56,34,importance,Web standards and compliance,4.48,0.0,89.3,58.9,89.3
Tenure (combined),3-6 years,29,34,importance,Web standards and compliance,4.59,0.0,93.1,65.5,93.1
Tenure (combined),1-2 years,15,34,importance,Web standards and compliance,4.67,0.0,93.3,73.3,93.3
Tenure (combined),All respondents,431,34,importance,WordPress leadership,4.04,8.1,73.8,43.4,65.7
Tenure (combined),15+ years,135,34,importance,WordPress leadership,4.12,10.4,77.0,49.6,66.7
Tenure (combined),10-15 years,122,34,importance,WordPress leadership,4.16,5.7,79.5,46.7,73.8
Tenure (combined),6-10 years,56,34,importance,WordPress leadership,3.98,7.1,75.0,37.5,67.9
Tenure (combined),3-6 years,29,34,importance,WordPress leadership,4.1,6.9,75.9,48.3,69.0
Tenure (combined),1-2 years,15,34,importance,WordPress leadership,4.0,0.0,66.7,33.3,66.7
Tenure (combined),All respondents,431,34,importance,WordPress governance,4.17,5.8,76.6,50.8,70.8
Tenure (combined),15+ years,135,34,importance,WordPress governance,4.33,5.2,82.2,58.5,77.0
Tenure (combined),10-15 years,122,34,importance,WordPress governance,4.29,4.1,79.5,57.4,75.4
Tenure (combined),6-10 years,56,34,importance,WordPress governance,3.98,5.4,71.4,37.5,66.1
Tenure (combined),3-6 years,29,34,importance,WordPress governance,4.28,6.9,86.2,55.2,79.3
Tenure (combined),1-2 years,15,34,importance,WordPress governance,4.13,0.0,66.7,46.7,66.7
Tenure (combined),All respondents,431,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.14,25.5,41.5,12.5,16.0
Tenure (combined),15+ years,135,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.15,25.2,40.7,11.9,15.6
Tenure (combined),10-15 years,122,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.33,21.3,50.0,15.6,28.7
Tenure (combined),6-10 years,56,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.18,21.4,39.3,10.7,17.9
Tenure (combined),3-6 years,29,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.31,13.8,44.8,13.8,31.0
Tenure (combined),1-2 years,15,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.13,20.0,40.0,6.7,20.0
Tenure (combined),All respondents,431,34,importance,Enterprise/scale issues,3.13,24.8,40.1,11.1,15.3
Tenure (combined),15+ years,135,34,importance,Enterprise/scale issues,3.26,20.7,47.4,14.1,26.7
Tenure (combined),10-15 years,122,34,importance,Enterprise/scale issues,3.15,26.2,41.0,10.7,14.8
Tenure (combined),6-10 years,56,34,importance,Enterprise/scale issues,3.36,16.1,48.2,10.7,32.1
Tenure (combined),3-6 years,29,34,importance,Enterprise/scale issues,2.97,24.1,27.6,10.3,3.4
Tenure (combined),1-2 years,15,34,importance,Enterprise/scale issues,2.6,46.7,20.0,6.7,-26.7
Tenure (combined),All respondents,431,34,importance,Collaboration with the greater open source ecosystem,3.82,8.8,67.7,26.0,58.9
Tenure (combined),15+ years,135,34,importance,Collaboration with the greater open source ecosystem,3.83,8.1,65.2,28.9,57.0
Tenure (combined),10-15 years,122,34,importance,Collaboration with the greater open source ecosystem,3.82,9.0,68.9,26.2,59.8
Tenure (combined),6-10 years,56,34,importance,Collaboration with the greater open source ecosystem,4.0,3.6,78.6,25.0,75.0
Tenure (combined),3-6 years,29,34,importance,Collaboration with the greater open source ecosystem,3.62,17.2,62.1,17.2,44.8
Tenure (combined),1-2 years,15,34,importance,Collaboration with the greater open source ecosystem,3.87,0.0,66.7,20.0,66.7
Tenure (combined),All respondents,431,38,importance,Personal capacity,4.22,3.7,82.8,44.5,79.1
Tenure (combined),15+ years,135,38,importance,Personal capacity,4.21,3.7,81.5,44.4,77.8
Tenure (combined),10-15 years,122,38,importance,Personal capacity,4.14,5.7,81.1,40.2,75.4
Tenure (combined),6-10 years,56,38,importance,Personal capacity,4.43,0.0,89.3,53.6,89.3
Tenure (combined),3-6 years,29,38,importance,Personal capacity,4.45,0.0,100.0,44.8,100.0
Tenure (combined),1-2 years,15,38,importance,Personal capacity,4.27,0.0,86.7,40.0,86.7
Tenure (combined),All respondents,431,38,importance,Financial incentives/restraints,3.05,27.4,33.6,11.8,6.3
Tenure (combined),15+ years,135,38,importance,Financial incentives/restraints,3.01,25.2,32.6,7.4,7.4
Tenure (combined),10-15 years,122,38,importance,Financial incentives/restraints,3.11,23.8,34.4,9.8,10.7
Tenure (combined),6-10 years,56,38,importance,Financial incentives/restraints,3.11,26.8,32.1,16.1,5.4
Tenure (combined),3-6 years,29,38,importance,Financial incentives/restraints,3.21,31.0,44.8,20.7,13.8
Tenure (combined),1-2 years,15,38,importance,Financial incentives/restraints,3.47,20.0,46.7,20.0,26.7
Tenure (combined),All respondents,431,38,importance,Impact of my contributions to the project,3.4,14.4,47.8,12.8,33.4
Tenure (combined),15+ years,135,38,importance,Impact of my contributions to the project,3.44,15.6,49.6,15.6,34.1
Tenure (combined),10-15 years,122,38,importance,Impact of my contributions to the project,3.42,12.3,47.5,10.7,35.2
Tenure (combined),6-10 years,56,38,importance,Impact of my contributions to the project,3.52,14.3,55.4,16.1,41.1
Tenure (combined),3-6 years,29,38,importance,Impact of my contributions to the project,3.38,13.8,44.8,6.9,31.0
Tenure (combined),1-2 years,15,38,importance,Impact of my contributions to the project,3.73,6.7,66.7,13.3,60.0
Tenure (combined),All respondents,431,38,importance,Impact of my participation on my professional or personal life,3.6,9.5,58.5,15.3,49.0
Tenure (combined),15+ years,135,38,importance,Impact of my participation on my professional or personal life,3.67,9.6,62.2,17.0,52.6
Tenure (combined),10-15 years,122,38,importance,Impact of my participation on my professional or personal life,3.7,7.4,63.1,15.6,55.7
Tenure (combined),6-10 years,56,38,importance,Impact of my participation on my professional or personal life,3.71,7.1,66.1,16.1,58.9
Tenure (combined),3-6 years,29,38,importance,Impact of my participation on my professional or personal life,3.59,3.4,55.2,10.3,51.7
Tenure (combined),1-2 years,15,38,importance,Impact of my participation on my professional or personal life,3.4,6.7,46.7,6.7,40.0
Tenure (combined),All respondents,431,38,importance,Understanding how to participate,3.59,10.7,59.6,16.2,49.0
Tenure (combined),15+ years,135,38,importance,Understanding how to participate,3.53,11.9,55.6,16.3,43.7
Tenure (combined),10-15 years,122,38,importance,Understanding how to participate,3.61,9.0,59.8,14.8,50.8
Tenure (combined),6-10 years,56,38,importance,Understanding how to participate,3.68,10.7,66.1,17.9,55.4
Tenure (combined),3-6 years,29,38,importance,Understanding how to participate,3.72,6.9,72.4,10.3,65.5
Tenure (combined),1-2 years,15,38,importance,Understanding how to participate,3.67,6.7,66.7,6.7,60.0
Tenure (combined),All respondents,431,38,importance,Mentorship or guidance,3.08,23.9,33.4,7.4,9.5
Tenure (combined),15+ years,135,38,importance,Mentorship or guidance,2.99,27.4,31.9,6.7,4.4
Tenure (combined),10-15 years,122,38,importance,Mentorship or guidance,3.03,24.6,31.1,6.6,6.6
Tenure (combined),6-10 years,56,38,importance,Mentorship or guidance,3.43,16.1,51.8,10.7,35.7
Tenure (combined),3-6 years,29,38,importance,Mentorship or guidance,3.21,20.7,37.9,3.4,17.2
Tenure (combined),1-2 years,15,38,importance,Mentorship or guidance,2.93,26.7,13.3,6.7,-13.3
Tenure (combined),All respondents,431,38,importance,Project roadmap,3.43,17.2,51.7,14.2,34.6
Tenure (combined),15+ years,135,38,importance,Project roadmap,3.39,20.0,49.6,14.1,29.6
Tenure (combined),10-15 years,122,38,importance,Project roadmap,3.54,13.1,57.4,13.9,44.3
Tenure (combined),6-10 years,56,38,importance,Project roadmap,3.48,17.9,57.1,16.1,39.3
Tenure (combined),3-6 years,29,38,importance,Project roadmap,3.38,20.7,51.7,10.3,31.0
Tenure (combined),1-2 years,15,38,importance,Project roadmap,3.33,13.3,40.0,6.7,26.7
Tenure (combined),All respondents,431,38,importance,Project leadership,3.83,12.5,67.3,32.7,54.8
Tenure (combined),15+ years,135,38,importance,Project leadership,3.83,12.6,68.1,32.6,55.6
Tenure (combined),10-15 years,122,38,importance,Project leadership,3.97,9.8,73.0,36.1,63.1
Tenure (combined),6-10 years,56,38,importance,Project leadership,3.62,17.9,60.7,25.0,42.9
Tenure (combined),3-6 years,29,38,importance,Project leadership,4.03,6.9,72.4,41.4,65.5
Tenure (combined),1-2 years,15,38,importance,Project leadership,3.4,20.0,46.7,13.3,26.7
Tenure (combined),All respondents,431,38,importance,Project governance/policies,3.85,10.4,66.4,32.7,55.9
Tenure (combined),15+ years,135,38,importance,Project governance/policies,3.87,11.9,66.7,35.6,54.8
Tenure (combined),10-15 years,122,38,importance,Project governance/policies,3.97,9.0,71.3,36.9,62.3
Tenure (combined),6-10 years,56,38,importance,Project governance/policies,3.75,12.5,64.3,26.8,51.8
Tenure (combined),3-6 years,29,38,importance,Project governance/policies,3.93,0.0,69.0,24.1,69.0
Tenure (combined),1-2 years,15,38,importance,Project governance/policies,3.8,6.7,60.0,26.7,53.3
Tenure (combined),All respondents,431,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",3.99,7.7,75.6,33.6,68.0
Tenure (combined),15+ years,135,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",4.07,8.1,78.5,37.8,70.4
Tenure (combined),10-15 years,122,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",4.07,5.7,77.9,36.1,72.1
Tenure (combined),6-10 years,56,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",3.77,8.9,66.1,21.4,57.1
Tenure (combined),3-6 years,29,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",3.93,6.9,79.3,24.1,72.4
Tenure (combined),1-2 years,15,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",3.67,13.3,66.7,20.0,53.3
Tenure (combined),All respondents,431,38,importance,Participation in the WordPress community,3.52,10.0,53.4,15.3,43.4
Tenure (combined),15+ years,135,38,importance,Participation in the WordPress community,3.73,8.1,66.7,20.0,58.5
Tenure (combined),10-15 years,122,38,importance,Participation in the WordPress community,3.76,5.7,62.3,21.3,56.6
Tenure (combined),6-10 years,56,38,importance,Participation in the WordPress community,3.66,8.9,64.3,17.9,55.4
Tenure (combined),3-6 years,29,38,importance,Participation in the WordPress community,3.31,6.9,34.5,3.4,27.6
Tenure (combined),1-2 years,15,38,importance,Participation in the WordPress community,3.4,6.7,40.0,6.7,33.3
Tenure (combined),All respondents,431,38,importance,Feeling welcome/included,4.06,5.8,76.3,39.2,70.5
Tenure (combined),15+ years,135,38,importance,Feeling welcome/included,4.19,3.7,79.3,45.9,75.6
Tenure (combined),10-15 years,122,38,importance,Feeling welcome/included,4.11,4.9,79.5,37.7,74.6
Tenure (combined),6-10 years,56,38,importance,Feeling welcome/included,4.18,3.6,78.6,46.4,75.0
Tenure (combined),3-6 years,29,38,importance,Feeling welcome/included,4.07,3.4,82.8,27.6,79.3
Tenure (combined),1-2 years,15,38,importance,Feeling welcome/included,3.67,13.3,53.3,33.3,40.0
Tenure (combined),All respondents,431,38,importance,Participating in a language other than English,2.46,45.2,19.7,6.3,-25.5
Tenure (combined),15+ years,135,38,importance,Participating in a language other than English,2.54,44.4,23.0,7.4,-21.5
Tenure (combined),10-15 years,122,38,importance,Participating in a language other than English,2.6,39.3,19.7,7.4,-19.7
Tenure (combined),6-10 years,56,38,importance,Participating in a language other than English,2.68,42.9,28.6,12.5,-14.3
Tenure (combined),3-6 years,29,38,importance,Participating in a language other than English,2.14,55.2,10.3,0.0,-44.8
Tenure (combined),1-2 years,15,38,importance,Participating in a language other than English,1.53,73.3,0.0,0.0,-73.3
Tenure (combined),All respondents,431,38,importance,Working asynchronously,3.61,11.6,55.5,24.1,43.9
Tenure (combined),15+ years,135,38,importance,Working asynchronously,3.67,10.4,56.3,26.7,45.9
Tenure (combined),10-15 years,122,38,importance,Working asynchronously,3.68,7.4,58.2,19.7,50.8
Tenure (combined),6-10 years,56,38,importance,Working asynchronously,3.66,16.1,60.7,30.4,44.6
Tenure (combined),3-6 years,29,38,importance,Working asynchronously,3.38,13.8,48.3,17.2,34.5
Tenure (combined),1-2 years,15,38,importance,Working asynchronously,3.6,0.0,53.3,6.7,53.3
Tenure (combined),All respondents,431,50,agreement,Attending in-person WordPress-related events is important to me.,3.13,35.3,46.6,21.3,11.4
Tenure (combined),15+ years,135,50,agreement,Attending in-person WordPress-related events is important to me.,3.54,20.7,59.3,29.6,38.5
Tenure (combined),10-15 years,122,50,agreement,Attending in-person WordPress-related events is important to me.,3.38,28.7,52.5,24.6,23.8
Tenure (combined),6-10 years,56,50,agreement,Attending in-person WordPress-related events is important to me.,3.61,21.4,60.7,32.1,39.3
Tenure (combined),3-6 years,29,50,agreement,Attending in-person WordPress-related events is important to me.,3.1,34.5,51.7,10.3,17.2
Tenure (combined),1-2 years,15,50,agreement,Attending in-person WordPress-related events is important to me.,2.0,80.0,6.7,6.7,-73.3
Tenure (combined),All respondents,431,57,importance,A location local to you,3.73,13.9,65.9,27.8,52.0
Tenure (combined),15+ years,135,57,importance,A location local to you,3.61,17.0,63.0,24.4,45.9
Tenure (combined),10-15 years,122,57,importance,A location local to you,3.69,13.9,61.5,25.4,47.5
Tenure (combined),6-10 years,56,57,importance,A location local to you,4.02,8.9,80.4,35.7,71.4
Tenure (combined),3-6 years,29,57,importance,A location local to you,3.79,13.8,69.0,24.1,55.2
Tenure (combined),1-2 years,15,57,importance,A location local to you,3.53,26.7,73.3,33.3,46.7
Tenure (combined),All respondents,431,57,importance,A regional/destination location,3.42,16.7,54.3,13.9,37.6
Tenure (combined),15+ years,135,57,importance,A regional/destination location,3.44,17.8,54.8,17.0,37.0
Tenure (combined),10-15 years,122,57,importance,A regional/destination location,3.45,13.1,51.6,12.3,38.5
Tenure (combined),6-10 years,56,57,importance,A regional/destination location,3.66,14.3,69.6,19.6,55.4
Tenure (combined),3-6 years,29,57,importance,A regional/destination location,3.41,17.2,51.7,13.8,34.5
Tenure (combined),1-2 years,15,57,importance,A regional/destination location,3.0,33.3,60.0,6.7,26.7
Tenure (combined),All respondents,431,57,importance,Events with smaller attendance,2.91,24.8,25.1,3.9,0.2
Tenure (combined),15+ years,135,57,importance,Events with smaller attendance,2.81,27.4,23.0,2.2,-4.4
Tenure (combined),10-15 years,122,57,importance,Events with smaller attendance,2.92,23.8,20.5,3.3,-3.3
Tenure (combined),6-10 years,56,57,importance,Events with smaller attendance,2.89,25.0,26.8,1.8,1.8
Tenure (combined),3-6 years,29,57,importance,Events with smaller attendance,2.93,24.1,20.7,6.9,-3.4
Tenure (combined),1-2 years,15,57,importance,Events with smaller attendance,2.8,33.3,40.0,6.7,6.7
Tenure (combined),All respondents,431,57,importance,Events with larger attendance,2.72,31.6,16.9,2.8,-14.6
Tenure (combined),15+ years,135,57,importance,Events with larger attendance,2.8,27.4,20.0,3.7,-7.4
Tenure (combined),10-15 years,122,57,importance,Events with larger attendance,2.91,25.4,21.3,2.5,-4.1
Tenure (combined),6-10 years,56,57,importance,Events with larger attendance,2.68,32.1,16.1,1.8,-16.1
Tenure (combined),3-6 years,29,57,importance,Events with larger attendance,2.83,24.1,13.8,3.4,-10.3
Tenure (combined),1-2 years,15,57,importance,Events with larger attendance,1.8,66.7,6.7,0.0,-60.0
Tenure (combined),All respondents,431,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.37,18.1,52.9,11.8,34.8
Tenure (combined),15+ years,135,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.25,20.7,47.4,11.1,26.7
Tenure (combined),10-15 years,122,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.34,18.9,48.4,13.1,29.5
Tenure (combined),6-10 years,56,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.55,14.3,62.5,12.5,48.2
Tenure (combined),3-6 years,29,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.69,13.8,65.5,17.2,51.7
Tenure (combined),1-2 years,15,57,importance,"Hard skill development (technical instruction, workshops, etc.)",2.73,40.0,33.3,6.7,-6.7
Tenure (combined),All respondents,431,57,importance,"Soft skill development (business development, personal development, etc.)",3.08,24.8,38.5,6.7,13.7
Tenure (combined),15+ years,135,57,importance,"Soft skill development (business development, personal development, etc.)",3.18,23.0,44.4,5.9,21.5
Tenure (combined),10-15 years,122,57,importance,"Soft skill development (business development, personal development, etc.)",3.07,23.8,36.9,5.7,13.1
Tenure (combined),6-10 years,56,57,importance,"Soft skill development (business development, personal development, etc.)",3.16,23.2,39.3,14.3,16.1
Tenure (combined),3-6 years,29,57,importance,"Soft skill development (business development, personal development, etc.)",3.45,20.7,58.6,10.3,37.9
Tenure (combined),1-2 years,15,57,importance,"Soft skill development (business development, personal development, etc.)",2.47,46.7,26.7,0.0,-20.0
Tenure (combined),All respondents,431,57,importance,Topics of sessions / panels,3.69,11.1,67.3,18.6,56.1
Tenure (combined),15+ years,135,57,importance,Topics of sessions / panels,3.68,11.9,68.9,16.3,57.0
Tenure (combined),10-15 years,122,57,importance,Topics of sessions / panels,3.57,13.1,62.3,15.6,49.2
Tenure (combined),6-10 years,56,57,importance,Topics of sessions / panels,3.73,8.9,66.1,17.9,57.1
Tenure (combined),3-6 years,29,57,importance,Topics of sessions / panels,4.14,0.0,86.2,27.6,86.2
Tenure (combined),1-2 years,15,57,importance,Topics of sessions / panels,3.67,13.3,80.0,13.3,66.7
Tenure (combined),All respondents,431,57,importance,Particular speakers / keynotes,3.14,21.8,38.7,7.7,16.9
Tenure (combined),15+ years,135,57,importance,Particular speakers / keynotes,3.24,18.5,43.7,7.4,25.2
Tenure (combined),10-15 years,122,57,importance,Particular speakers / keynotes,3.09,21.3,35.2,5.7,13.9
Tenure (combined),6-10 years,56,57,importance,Particular speakers / keynotes,3.29,21.4,46.4,12.5,25.0
Tenure (combined),3-6 years,29,57,importance,Particular speakers / keynotes,3.24,20.7,44.8,6.9,24.1
Tenure (combined),1-2 years,15,57,importance,Particular speakers / keynotes,3.13,20.0,40.0,6.7,20.0
Tenure (combined),All respondents,431,57,importance,Meeting professional development requirements,2.83,32.0,28.8,7.0,-3.2
Tenure (combined),15+ years,135,57,importance,Meeting professional development requirements,2.84,31.9,29.6,5.2,-2.2
Tenure (combined),10-15 years,122,57,importance,Meeting professional development requirements,2.87,27.9,27.0,8.2,-0.8
Tenure (combined),6-10 years,56,57,importance,Meeting professional development requirements,2.89,28.6,32.1,7.1,3.6
Tenure (combined),3-6 years,29,57,importance,Meeting professional development requirements,2.66,48.3,27.6,6.9,-20.7
Tenure (combined),1-2 years,15,57,importance,Meeting professional development requirements,2.33,53.3,13.3,6.7,-40.0
Tenure (combined),All respondents,431,57,importance,Networking opportunities,3.65,14.2,60.6,25.1,46.4
Tenure (combined),15+ years,135,57,importance,Networking opportunities,3.79,11.1,68.1,26.7,57.0
Tenure (combined),10-15 years,122,57,importance,Networking opportunities,3.81,8.2,63.9,29.5,55.7
Tenure (combined),6-10 years,56,57,importance,Networking opportunities,3.98,7.1,73.2,35.7,66.1
Tenure (combined),3-6 years,29,57,importance,Networking opportunities,3.55,20.7,58.6,24.1,37.9
Tenure (combined),1-2 years,15,57,importance,Networking opportunities,2.93,33.3,40.0,13.3,6.7
Tenure (combined),All respondents,431,57,importance,Community development/engagement,3.61,11.8,61.5,18.3,49.7
Tenure (combined),15+ years,135,57,importance,Community development/engagement,3.76,9.6,68.1,24.4,58.5
Tenure (combined),10-15 years,122,57,importance,Community development/engagement,3.75,4.9,63.9,18.0,59.0
Tenure (combined),6-10 years,56,57,importance,Community development/engagement,3.89,8.9,76.8,26.8,67.9
Tenure (combined),3-6 years,29,57,importance,Community development/engagement,3.38,17.2,55.2,6.9,37.9
Tenure (combined),1-2 years,15,57,importance,Community development/engagement,2.87,33.3,33.3,6.7,0.0
Tenure (combined),All respondents,431,57,importance,Cost of ticket,3.44,19.5,54.5,17.6,35.0
Tenure (combined),15+ years,135,57,importance,Cost of ticket,3.28,22.2,46.7,14.8,24.4
Tenure (combined),10-15 years,122,57,importance,Cost of ticket,3.45,20.5,59.0,13.9,38.5
Tenure (combined),6-10 years,56,57,importance,Cost of ticket,3.52,19.6,60.7,19.6,41.1
Tenure (combined),3-6 years,29,57,importance,Cost of ticket,3.72,13.8,62.1,24.1,48.3
Tenure (combined),1-2 years,15,57,importance,Cost of ticket,3.13,20.0,53.3,0.0,33.3
Tenure (combined),All respondents,431,57,importance,"Cost of attendance (travel, housing, etc.)",3.9,11.4,72.4,34.3,61.0
Tenure (combined),15+ years,135,57,importance,"Cost of attendance (travel, housing, etc.)",3.83,13.3,68.1,34.1,54.8
Tenure (combined),10-15 years,122,57,importance,"Cost of attendance (travel, housing, etc.)",3.89,10.7,74.6,28.7,63.9
Tenure (combined),6-10 years,56,57,importance,"Cost of attendance (travel, housing, etc.)",4.05,8.9,76.8,41.1,67.9
Tenure (combined),3-6 years,29,57,importance,"Cost of attendance (travel, housing, etc.)",4.17,6.9,86.2,37.9,79.3
Tenure (combined),1-2 years,15,57,importance,"Cost of attendance (travel, housing, etc.)",3.6,20.0,73.3,26.7,53.3
Tenure (combined),All respondents,431,59,sentiment,"Right now, how do you generally feel about open source software?",4.16,3.9,81.7,39.4,77.7
Tenure (combined),15+ years,135,59,sentiment,"Right now, how do you generally feel about open source software?",4.23,3.7,83.7,43.7,80.0
Tenure (combined),10-15 years,122,59,sentiment,"Right now, how do you generally feel about open source software?",4.14,3.3,82.8,35.2,79.5
Tenure (combined),6-10 years,56,59,sentiment,"Right now, how do you generally feel about open source software?",4.18,1.8,82.1,37.5,80.4
Tenure (combined),3-6 years,29,59,sentiment,"Right now, how do you generally feel about open source software?",4.17,3.4,82.8,37.9,79.3
Tenure (combined),1-2 years,15,59,sentiment,"Right now, how do you generally feel about open source software?",4.4,0.0,80.0,60.0,80.0
Tenure (combined),All respondents,431,62,importance,Open source software,4.59,1.2,93.5,68.0,92.3
Tenure (combined),15+ years,135,62,importance,Open source software,4.68,0.7,96.3,73.3,95.6
Tenure (combined),10-15 years,122,62,importance,Open source software,4.53,2.5,92.6,64.8,90.2
Tenure (combined),6-10 years,56,62,importance,Open source software,4.61,0.0,96.4,64.3,96.4
Tenure (combined),3-6 years,29,62,importance,Open source software,4.62,0.0,93.1,69.0,93.1
Tenure (combined),1-2 years,15,62,importance,Open source software,4.67,0.0,86.7,80.0,86.7
Tenure (combined),All respondents,431,62,importance,Open source values (whatever that means to you)required,4.51,3.2,91.9,64.3,88.6
Tenure (combined),15+ years,135,62,importance,Open source values (whatever that means to you)required,4.64,1.5,96.3,70.4,94.8
Tenure (combined),10-15 years,122,62,importance,Open source values (whatever that means to you)required,4.46,4.1,91.0,61.5,86.9
Tenure (combined),6-10 years,56,62,importance,Open source values (whatever that means to you)required,4.55,1.8,92.9,64.3,91.1
Tenure (combined),3-6 years,29,62,importance,Open source values (whatever that means to you)required,4.41,3.4,89.7,55.2,86.2
Tenure (combined),1-2 years,15,62,importance,Open source values (whatever that means to you)required,4.33,6.7,80.0,66.7,73.3
Tenure (combined),All respondents,431,62,importance,The sustainability of open source projects,4.58,1.2,93.3,66.6,92.1
Tenure (combined),15+ years,135,62,importance,The sustainability of open source projects,4.66,1.5,96.3,71.9,94.8
Tenure (combined),10-15 years,122,62,importance,The sustainability of open source projects,4.53,1.6,94.3,62.3,92.6
Tenure (combined),6-10 years,56,62,importance,The sustainability of open source projects,4.52,0.0,89.3,62.5,89.3
Tenure (combined),3-6 years,29,62,importance,The sustainability of open source projects,4.62,0.0,89.7,72.4,89.7
Tenure (combined),1-2 years,15,62,importance,The sustainability of open source projects,4.6,0.0,86.7,73.3,86.7
Tenure (combined),All respondents,431,62,importance,Open source in WordPress,4.51,2.8,92.1,63.1,89.3
Tenure (combined),15+ years,135,62,importance,Open source in WordPress,4.67,0.7,97.8,70.4,97.0
Tenure (combined),10-15 years,122,62,importance,Open source in WordPress,4.47,3.3,91.8,60.7,88.5
Tenure (combined),6-10 years,56,62,importance,Open source in WordPress,4.54,1.8,94.6,62.5,92.9
Tenure (combined),3-6 years,29,62,importance,Open source in WordPress,4.34,0.0,79.3,55.2,79.3
Tenure (combined),1-2 years,15,62,importance,Open source in WordPress,4.33,6.7,80.0,60.0,73.3
Tenure (combined),All respondents,431,62,importance,Open source in AI,3.24,29.2,50.1,27.4,20.9
Tenure (combined),15+ years,135,62,importance,Open source in AI,3.49,23.7,59.3,31.1,35.6
Tenure (combined),10-15 years,122,62,importance,Open source in AI,3.39,25.4,53.3,32.8,27.9
Tenure (combined),6-10 years,56,62,importance,Open source in AI,3.52,21.4,58.9,28.6,37.5
Tenure (combined),3-6 years,29,62,importance,Open source in AI,2.97,34.5,34.5,20.7,0.0
Tenure (combined),1-2 years,15,62,importance,Open source in AI,3.27,26.7,46.7,26.7,20.0
Tenure (combined),All respondents,431,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",2.6,46.2,31.1,10.0,-15.1
Tenure (combined),15+ years,135,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",2.97,36.3,43.7,12.6,7.4
Tenure (combined),10-15 years,122,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",2.59,42.6,26.2,6.6,-16.4
Tenure (combined),6-10 years,56,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",3.09,33.9,41.1,19.6,7.1
Tenure (combined),3-6 years,29,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",2.48,51.7,27.6,6.9,-24.1
Tenure (combined),1-2 years,15,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",2.07,60.0,20.0,6.7,-40.0
Tenure (combined),All respondents,431,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",2.35,49.9,16.9,3.9,-32.9
Tenure (combined),15+ years,135,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",2.69,39.3,25.2,7.4,-14.1
Tenure (combined),10-15 years,122,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",2.5,43.4,16.4,4.1,-27.0
Tenure (combined),6-10 years,56,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",2.59,39.3,23.2,1.8,-16.1
Tenure (combined),3-6 years,29,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",2.21,55.2,17.2,0.0,-37.9
Tenure (combined),1-2 years,15,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",1.6,80.0,0.0,0.0,-80.0
