test_type,segment_variable,outcome_measure,question_number,groups_compared,statistic,p,significance,lowest_scoring_group,highest_scoring_group,spread_in_group_means
ordinal (Kruskal-Wallis),Income depends on WordPress,AI in WordPress,34,3,18.8,8.260525057796887e-05,***,No,Yes,0.64
ordinal (Kruskal-Wallis),Gender,Networking opportunities,57,4,21.43,8.573476264543506e-05,***,Prefer not to answer,Female,0.99
categorical (chi-square),Age,Do you contribute to open source projects other than the WordPress open source project?,63,5,46.31,8.704769508810946e-05,***,,,
ordinal (Kruskal-Wallis),Experienced hostility personally,"Right now, how do you feel overall about the WordPress open source project?",28,2,15.38,8.804271129824991e-05,***,Experienced,Did not experience,0.42
categorical (chi-square),Contributor identity,"With regard to AI's future impact on your work or income, which of the following are true ",73,5,39.39,9.085288608303296e-05,***,,,
categorical (chi-square),Uses AI at work,Do you contribute to open source projects other than the WordPress open source project?,63,2,23.72,9.096752552897983e-05,***,,,
ordinal (Kruskal-Wallis),Contributor identity,Open source values,34,5,23.64,9.450680960521754e-05,***,Neutral,Strongly agree,0.51
ordinal (Kruskal-Wallis),Community membership,Impact of my contributions to the project,38,5,23.6,9.594058351218615e-05,***,Strongly disagree,Strongly agree,1.01
ordinal (Kruskal-Wallis),Uses AI at work,Contributing to WordPress,34,2,15.19,9.730152006433823e-05,***,Does not use AI,Uses AI,0.46
categorical (chi-square),Volunteers outside WordPress and open source,Have you attended any other open source or tech-related in-person conferences or events in,55,2,15.18,9.763627953061869e-05,***,,,
categorical (chi-square),Participation change,Are you currently using AI in your work?,65,5,23.53,9.924771744059824e-05,***,,,
categorical (chi-square),Uses AI at work,Has your level of community participation in the WordPress open source project changed in ,37,2,23.53,9.924771744059824e-05,***,,,
ordinal (Kruskal-Wallis),Participation change,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,5,23.38,0.00010614810357678386,***,No change / About the same,Significantly increased,1.5
ordinal (Kruskal-Wallis),Gender,Mentorship or guidance,38,4,20.73,0.00011966094294905802,***,Prefer not to answer,Female,0.86
categorical (chi-square),Experienced hostility personally,Has your sentiment toward the WordPress open source project changed over the past 24 month,29,2,14.75,0.0001229939066425312,***,,,
ordinal (Kruskal-Wallis),Uses AI at work,Open source values (whatever that means to you)required,62,2,14.65,0.00012960797843668986,***,Uses AI,Does not use AI,0.32
ordinal (Kruskal-Wallis),Uses AI at work,Events with larger attendance,57,2,14.63,0.00013062097223543194,***,Does not use AI,Uses AI,0.4
ordinal (Kruskal-Wallis),Gender,Contributing to WordPress,34,4,20.42,0.00013913737488118112,***,Prefer not to answer,Male,0.89
categorical (chi-square),Location,Which best describes your participation in official WordPress open source project events (,51,2,24.98,0.0001406781436430262,***,,,
ordinal (Kruskal-Wallis),Event relationship,Events with larger attendance,57,5,22.75,0.00014214871941793105,***,"Never attended, not interested","Attend, annually or occasionally",0.55
categorical (chi-square),Income depends on WordPress,Problems with project leadership or governance,46,3,27.03,0.00014285881133228152,***,,,
categorical (chi-square),Income depends on WordPress,Hostility or rudeness,46,3,27.01,0.00014441670429726327,***,,,
ordinal (Kruskal-Wallis),Gender,A regional/destination location,57,4,20.33,0.00014482551556493795,***,Prefer not to answer,Female,1.0
ordinal (Kruskal-Wallis),Event relationship,A regional/destination location,57,5,22.61,0.00015115369746926838,***,"Never attended, not interested","Never attended, would like to",0.87
categorical (chi-square),Participation level,"With regard to AI's current impact on your work or income, which of the following are true",71,6,43.04,0.00015498881756885875,***,,,
ordinal (Kruskal-Wallis),Income depends on WordPress,Participation in the WordPress community,38,3,17.4,0.00016687827839325707,***,No,Yes,0.39
ordinal (Kruskal-Wallis),Participation level,Impact of my contributions to the project,38,6,24.56,0.00016913663685165744,***,Observational only,Very active participation,0.8
ordinal (Kruskal-Wallis),Participation change,Contributing to WordPress,34,5,22.18,0.00018480095810168744,***,No change / About the same,Significantly increased,1.17
ordinal (Kruskal-Wallis),Tenure (combined),WordPress events and meetups,34,5,22.15,0.0001868554405238172,***,1-2 years,15+ years,1.56
ordinal (Kruskal-Wallis),Work role,"Right now, how do you generally feel about AI in the tech industry?",67,6,24.09,0.00020886182229572093,***,Other/Non-working,Owner/Exec,1.18
categorical (chi-square),Contributes to open source elsewhere,What is your gender?,2,2,21.86,0.0002139228512322764,***,,,
ordinal (Kruskal-Wallis),Contributor identity,Cost of ticket,57,5,21.84,0.00021573573617620482,***,Strongly agree,Disagree,0.69
ordinal (Kruskal-Wallis),Community membership,Enterprise/scale issues,34,5,21.82,0.00021799504631038762,***,Strongly disagree,Strongly agree,1.06
ordinal (Kruskal-Wallis),Uses AI at work,Open source software,62,2,13.56,0.00023061970376309288,***,Uses AI,Does not use AI,0.27
ordinal (Kruskal-Wallis),Event relationship,Meeting professional development requirements,57,5,21.65,0.00023490818779679974,***,"Never attended, not interested","Attend, annually or occasionally",0.7
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,"Right now, how do you feel overall about the WordPress open source project?",28,2,13.52,0.00023576220270945392,***,Yes,No,0.39
ordinal (Kruskal-Wallis),Uses AI at work,The sustainability of open source projects,62,2,13.5,0.0002383745380223474,***,Uses AI,Does not use AI,0.26
ordinal (Kruskal-Wallis),Experienced hostility personally,How do you feel about the future of the WordPress open source project?,31,2,13.44,0.0002462434360781381,***,Experienced,Did not experience,0.38
ordinal (Kruskal-Wallis),Contribution type,Feeling welcome/included,38,4,19.21,0.0002474668820931205,***,Code / project work only,Community work only,0.54
ordinal (Kruskal-Wallis),Event relationship,Cost of ticket,57,5,21.52,0.00025019477043242643,***,"Attend, multiple times a year","Never attended, would like to",0.85
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,Open source values (whatever that means to you)required,62,2,13.27,0.0002692416737582238,***,No,Yes,0.28
categorical (chi-square),Pay status,Has your level of community participation in the WordPress open source project changed in ,37,3,29.31,0.00027994675368274067,***,,,
categorical (chi-square),Participation change,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,5,29.31,0.0002799467536827408,***,,,
ordinal (Kruskal-Wallis),Gender,How do you feel about the future of the WordPress open source project?,31,4,18.87,0.0002911755945602732,***,Prefer not to answer,Non-binary,1.09
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,"Right now, how do you generally feel about AI in the tech industry?",67,2,13.11,0.0002932840631354281,***,Yes,No,0.48
categorical (chi-square),Location,Language or content that made me or others feel unwelcome or excluded,46,2,18.79,0.00030216707488080777,***,,,
ordinal (Kruskal-Wallis),Contribution type,Cost of ticket,57,4,18.79,0.000302632213081539,***,Code / project work only,No contribution work,0.6
ordinal (Kruskal-Wallis),Income depends on WordPress,Impact of my participation on my professional or personal life,38,3,16.19,0.0003055790695698812,***,Partially,Yes,0.4
ordinal (Kruskal-Wallis),Contribution type,Events with smaller attendance,57,4,18.74,0.0003099450527006332,***,Community and code work,No contribution work,0.49
ordinal (Kruskal-Wallis),Gender,I consider myself to be a member of the WordPress community.,22,4,18.66,0.0003217626910444748,***,Prefer not to answer,Female,1.04
ordinal (Kruskal-Wallis),Event relationship,Financial incentives/restraints,38,5,20.91,0.00032945436198118154,***,"Never attended, not interested",Stopped attending,0.61
ordinal (Kruskal-Wallis),Gender,I consider myself to be a contributor to the WordPress open source project.,19,4,18.51,0.00034529552129780735,***,Prefer not to answer,Male,1.02
categorical (chi-square),Gender,Are you currently using AI in your work?,65,4,18.37,0.0003692705944465376,***,,,
ordinal (Kruskal-Wallis),Participation change,Understanding how to participate,38,5,20.58,0.0003839043963020399,***,Significantly decreased,Significantly increased,1.09
ordinal (Kruskal-Wallis),Participation change,Impact of my contributions to the project,38,5,20.46,0.0004048391159536239,***,Decreased,Significantly increased,1.19
ordinal (Kruskal-Wallis),Event relationship,Topics of sessions / panels,57,5,20.2,0.0004562992492247442,***,"Attend, multiple times a year",Stopped attending,0.54
ordinal (Kruskal-Wallis),Gender,The WordPress community,34,4,17.92,0.0004579396871242089,***,Prefer not to answer,Non-binary,0.98
categorical (chi-square),Contributes to open source elsewhere,What is your age?,1,2,22.26,0.0004666514657256251,***,,,
categorical (chi-square),Income depends on WordPress,Conflict or ongoing interpersonal tension between community members,46,3,24.19,0.00048137724014338934,***,,,
ordinal (Kruskal-Wallis),Event relationship,WordPress leadership,34,5,20.05,0.000487491121109763,***,"Never attended, not interested","Never attended, would like to",0.72
categorical (chi-square),Income depends on WordPress,"With regard to AI's current impact on your work or income, which of the following are true",71,3,24.15,0.0004894175231722499,***,,,
categorical (chi-square),Experienced hostility personally,How would you describe your current level of community participation in the WordPress open,36,2,22.12,0.0004961960994649584,***,,,
ordinal (Kruskal-Wallis),Participation change,"Right now, how do you generally feel about AI in the tech industry?",67,5,19.94,0.0005132428731673942,***,No change / About the same,Significantly increased,1.29
categorical (chi-square),Pay status,Are you currently using AI in your work?,65,3,14.99,0.0005563610338821505,***,,,
categorical (chi-square),Uses AI at work,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,2,14.99,0.0005563610338821505,***,,,
categorical (chi-square),Event relationship,How has your sentiment toward the WordPress open source project changed over the past 24 m,30,5,19.6,0.0005979774096343085,***,,,
ordinal (Kruskal-Wallis),Income depends on WordPress,Financial incentives/restraints,38,3,14.76,0.0006224074643147776,***,No,Yes,0.49
ordinal (Kruskal-Wallis),Uses AI at work,Impact of my participation on my professional or personal life,38,2,11.7,0.0006252536893524086,***,Does not use AI,Uses AI,0.34
ordinal (Kruskal-Wallis),Participation level,WordPress open source software,34,6,21.52,0.000647083592690638,***,Do not participate / Not applicable,Very active participation,0.79
ordinal (Kruskal-Wallis),Contributor identity,Topics of sessions / panels,57,5,19.39,0.0006584233089007604,***,Strongly agree,Disagree,0.54
ordinal (Kruskal-Wallis),Income depends on WordPress,Contributing to WordPress,34,3,14.61,0.0006738341941445496,***,No,Yes,0.45
ordinal (Kruskal-Wallis),Experienced hostility personally,Impact of my contributions to the project,38,2,11.56,0.0006755104730254271,***,Did not experience,Experienced,0.29
ordinal (Kruskal-Wallis),Tenure (combined),Attending in-person WordPress-related events is important to me.,50,5,19.19,0.0007204729295652651,***,1-2 years,6-10 years,1.61
categorical (chi-square),Contribution type,"With regard to AI's future impact on your work or income, which of the following are true ",73,4,28.53,0.0007781716438994441,***,,,
ordinal (Kruskal-Wallis),Location,Meeting professional development requirements,57,2,11.23,0.0008055513508833887,***,US,Non-US,0.37
ordinal (Kruskal-Wallis),Contributor identity,"Right now, how do you feel overall about the WordPress open source project?",28,5,18.88,0.0008301835872974574,***,Strongly disagree,Strongly agree,0.69
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,Open source values (whatever that means to you)required,62,2,11.05,0.0008858392024829328,***,No,Yes,0.24
categorical (chi-square),Location,Hostility or rudeness,46,2,16.48,0.0009059544889088411,***,,,
categorical (chi-square),Income depends on WordPress,Has your level of community participation in the WordPress open source project changed in ,37,3,26.27,0.000942328001615477,***,,,
ordinal (Kruskal-Wallis),Uses AI at work,Cost of ticket,57,2,10.93,0.0009447922786241636,***,Uses AI,Does not use AI,0.39
categorical (chi-square),Event relationship,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,5,26.26,0.000946236823801714,***,,,
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,2,10.84,0.000992432635090108,***,Yes,No,0.45
ordinal (Kruskal-Wallis),Community membership,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc",34,5,18.48,0.0009933922865689464,***,Strongly disagree,Strongly agree,1.29
ordinal (Kruskal-Wallis),Pay status,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,3,13.8,0.0010082523897670694,**,Unpaid,Paid directly,0.59
ordinal (Kruskal-Wallis),Contribution type,Impact of my participation on my professional or personal life,38,4,16.2,0.001030086039374598,**,No contribution work,Community work only,0.42
ordinal (Kruskal-Wallis),Event relationship,Feeling welcome/included,38,5,18.37,0.001042495060331833,**,"Never attended, not interested","Attend, multiple times a year",0.53
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,AI in WordPress,34,2,10.6,0.0011321514692240527,**,Yes,No,0.45
ordinal (Kruskal-Wallis),Community membership,Feeling welcome/included,38,5,18.19,0.0011347561075188853,**,Disagree,Strongly agree,0.54
ordinal (Kruskal-Wallis),Work role,"Cost of attendance (travel, housing, etc.)",57,6,20.2,0.0011469822946523303,**,Other/Non-working,Employee+Freelance,0.85
ordinal (Kruskal-Wallis),Community membership,Events with larger attendance,57,5,18.14,0.0011564868857039826,**,Strongly disagree,Strongly agree,0.66
ordinal (Kruskal-Wallis),Participation level,Cost of ticket,57,6,20.16,0.001163879766516025,**,Very active participation,Observational only,0.67
categorical (chi-square),Income depends on WordPress,Name-calling or personal attacks,46,3,22.09,0.001164480854817356,**,,,
ordinal (Kruskal-Wallis),Location,A regional/destination location,57,2,10.48,0.001205719958992209,**,US,Non-US,0.37
ordinal (Kruskal-Wallis),Participation change,Project leadership,38,5,17.95,0.0012648767024846354,**,No change / About the same,Decreased,0.47
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,WordPress events and meetups,34,2,10.34,0.0013001593160838687,**,Yes,No,0.43
categorical (chi-square),Volunteers outside WordPress and open source,Are you currently using AI in your work?,65,2,10.34,0.0013006478894093806,**,,,
ordinal (Kruskal-Wallis),Gender,Understanding how to participate,38,4,15.68,0.0013159037788966755,**,Prefer not to answer,Female,0.82
ordinal (Kruskal-Wallis),Work role,Financial incentives/restraints,38,6,19.77,0.001382335409366711,**,Employee only,Owner/Exec,0.56
categorical (chi-square),Age,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,5,25.19,0.0014429995258022756,**,,,
ordinal (Kruskal-Wallis),Contribution type,Impact of my contributions to the project,38,4,15.4,0.0015043114498430787,**,No contribution work,Community and code work,0.39
ordinal (Kruskal-Wallis),Gender,"Right now, how do you feel overall about the WordPress open source project?",28,4,15.35,0.0015426984079592366,**,Prefer not to answer,Non-binary,1.07
ordinal (Kruskal-Wallis),Contributor identity,Open source in WordPress,62,5,17.49,0.0015502517941047263,**,Strongly disagree,Strongly agree,0.47
categorical (chi-square),Uses AI at work,"Do you contribute to or volunteer for organizations, projects or causes other than WordPre",64,2,17.41,0.001610801122395468,**,,,
ordinal (Kruskal-Wallis),Work role,Working asynchronously,38,6,19.26,0.0017200204432134688,**,Other/Non-working,Employee+Freelance,0.61
categorical (chi-square),Pay status,What is your age?,1,3,28.12,0.0017296204226994794,**,,,
ordinal (Kruskal-Wallis),Event relationship,Events with smaller attendance,57,5,17.2,0.0017663393617069654,**,"Attend, multiple times a year","Never attended, would like to",0.46
categorical (chi-square),Contributes to open source elsewhere,Problems with project leadership or governance,46,2,15.04,0.0017826809825908943,**,,,
ordinal (Kruskal-Wallis),Participation level,Participating in a language other than English,38,6,19.02,0.0019059259109008788,**,Do not participate / Not applicable,Very active participation,0.97
ordinal (Kruskal-Wallis),Contributor identity,Participating in a language other than English,38,5,17.03,0.0019059851934972469,**,Strongly disagree,Strongly agree,0.82
ordinal (Kruskal-Wallis),Gender,AI in WordPress,34,4,14.89,0.0019159236678816015,**,Prefer not to answer,Female,0.91
ordinal (Kruskal-Wallis),Pay status,Contributing to WordPress,34,3,12.41,0.0020175638199194214,**,Unpaid,Paid indirectly,0.45
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,Mentorship or guidance,38,2,9.49,0.002069319306335314,**,Yes,No,0.32
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,Attending in-person WordPress-related events is important to me.,50,2,9.37,0.0022038724156178287,**,Yes,No,0.44
ordinal (Kruskal-Wallis),Gender,Particular speakers / keynotes,57,4,14.59,0.002204709198631013,**,Prefer not to answer,Female,0.87
ordinal (Kruskal-Wallis),Experienced hostility personally,Project leadership,38,2,9.18,0.0024512862804464157,**,Did not experience,Experienced,0.29
ordinal (Kruskal-Wallis),Experienced hostility personally,WordPress leadership,34,2,9.06,0.002616582646209894,**,Did not experience,Experienced,0.25
categorical (chi-square),Work role,Are you currently using AI in your work?,65,6,18.08,0.0028423539854514827,**,,,
ordinal (Kruskal-Wallis),Location,"Right now, how do you generally feel about open source software?",59,2,8.88,0.0028808338910354474,**,US,Non-US,0.24
categorical (chi-square),Work role,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,6,26.67,0.0029356428226154987,**,,,
ordinal (Kruskal-Wallis),Participation level,Feeling welcome/included,38,6,18.0,0.0029409398521369444,**,Do not participate / Not applicable,Very active participation,0.82
ordinal (Kruskal-Wallis),Participation level,Enterprise/scale issues,34,6,17.96,0.002996285291009519,**,Do not participate / Not applicable,Moderately active participation,0.77
ordinal (Kruskal-Wallis),Uses AI at work,WordPress leadership,34,2,8.78,0.003052834458614305,**,Does not use AI,Uses AI,0.28
ordinal (Kruskal-Wallis),Event relationship,Project governance/policies,38,5,15.93,0.0031144671236459464,**,"Attend, multiple times a year",Stopped attending,0.55
categorical (chi-square),Experienced hostility personally,Which best describes your participation in official WordPress open source project events (,51,2,17.73,0.003308029613034606,**,,,
ordinal (Kruskal-Wallis),Experienced hostility personally,WordPress governance,34,2,8.59,0.003374397702860046,**,Did not experience,Experienced,0.26
categorical (chi-square),Location,Harassment or targeted negative behavior,46,2,13.65,0.003424458798264915,**,,,
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,How do you feel about the future of the WordPress open source project?,31,2,8.53,0.003495682032850603,**,Yes,No,0.27
categorical (chi-square),Contributor identity,Do you contribute to open source projects other than the WordPress open source project?,63,5,35.27,0.0036531155282033506,**,,,
ordinal (Kruskal-Wallis),Pay status,WordPress events and meetups,34,3,11.22,0.003664249113422082,**,Unpaid,Paid indirectly,0.47
ordinal (Kruskal-Wallis),Participation change,WordPress governance,34,5,15.52,0.0037365916340314324,**,Significantly increased,Decreased,0.54
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,"Right now, how do you generally feel about AI in the tech industry?",67,2,8.38,0.0037903867729220564,**,Yes,No,0.38
ordinal (Kruskal-Wallis),Work role,Personal capacity,38,6,17.4,0.003803474221757237,**,Other/Non-working,Employee+Owner,0.9
ordinal (Kruskal-Wallis),Work role,Enterprise/scale issues,34,6,17.36,0.003864844554730624,**,Other/Non-working,Employee+Owner,1.0
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,Attending in-person WordPress-related events is important to me.,50,2,8.31,0.003946614648527586,**,Yes,No,0.39
ordinal (Kruskal-Wallis),Gender,WordPress leadership,34,4,13.34,0.0039531453385184484,**,Prefer not to answer,Female,0.94
ordinal (Kruskal-Wallis),Tenure (combined),Community development/engagement,57,5,15.14,0.00442220411764128,**,1-2 years,6-10 years,1.03
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,Open source values,34,2,8.09,0.0044554336283282505,**,No,Yes,0.22
ordinal (Kruskal-Wallis),Work role,Topics of sessions / panels,57,6,17.01,0.004475381832945645,**,Other/Non-working,Employee only,0.92
ordinal (Kruskal-Wallis),Experienced hostility personally,Participation in the WordPress community,38,2,8.0,0.004679968153069533,**,Did not experience,Experienced,0.24
ordinal (Kruskal-Wallis),Uses AI at work,"Soft skill development (business development, personal development, etc.)",57,2,7.77,0.005312166324431379,**,Does not use AI,Uses AI,0.3
ordinal (Kruskal-Wallis),Contribution type,Enterprise/scale issues,34,4,12.67,0.005408168146494842,**,No contribution work,Code / project work only,0.43
categorical (chi-square),Income depends on WordPress,Dismissive or condescending responses to contributions or questions,46,3,18.16,0.005843694822760436,**,,,
ordinal (Kruskal-Wallis),Age,Personal capacity,38,5,14.5,0.0058584012566527364,**,55-64,35-44,0.41
ordinal (Kruskal-Wallis),Pay status,Impact of my participation on my professional or personal life,38,3,10.26,0.005903375951633572,**,Unpaid,Paid directly,0.34
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,Open source software,62,2,7.45,0.006350429432582721,**,No,Yes,0.16
ordinal (Kruskal-Wallis),Participation level,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc",34,6,16.17,0.006362159400317179,**,Inactive,Very active participation,0.71
categorical (chi-square),Participation change,Has your sentiment toward open source software changed over the past 24 months?,60,5,14.25,0.006537192866819016,**,,,
ordinal (Kruskal-Wallis),Participation level,Events with smaller attendance,57,6,16.08,0.006607004109837861,**,Very active participation,Do not participate / Not applicable,0.63
ordinal (Kruskal-Wallis),Community membership,"Right now, how do you generally feel about open source software?",59,5,14.18,0.006735848891141049,**,Neutral,Strongly agree,0.4
ordinal (Kruskal-Wallis),Participation level,Events with larger attendance,57,6,16.01,0.006810132330093342,**,Do not participate / Not applicable,Moderately active participation,0.67
ordinal (Kruskal-Wallis),Event relationship,"Cost of attendance (travel, housing, etc.)",57,5,14.06,0.007101616271253841,**,"Attend, multiple times a year","Never attended, would like to",0.46
ordinal (Kruskal-Wallis),Gender,Meeting professional development requirements,57,4,12.05,0.007207680730146762,**,Non-binary,Male,0.76
ordinal (Kruskal-Wallis),Participation level,Open source in WordPress,62,6,15.83,0.00735873648765252,**,Do not participate / Not applicable,Very active participation,0.88
ordinal (Kruskal-Wallis),Tenure (combined),Events with larger attendance,57,5,13.93,0.007514317766552426,**,1-2 years,10-15 years,1.11
categorical (chi-square),Volunteers outside WordPress and open source,Problems with project leadership or governance,46,2,11.95,0.007541686741784705,**,,,
ordinal (Kruskal-Wallis),Income depends on WordPress,Personal capacity,38,3,9.71,0.0078058504806011045,**,Partially,Yes,0.26
categorical (chi-square),Contributes to open source elsewhere,Are you currently using AI in your work?,65,2,7.06,0.007891535914960734,**,,,
ordinal (Kruskal-Wallis),Work role,I consider myself to be a member of the WordPress community.,22,6,15.66,0.00789164037030696,**,Other/Non-working,Owner/Exec,0.81
categorical (chi-square),Event relationship,Have you attended any other open source or tech-related in-person conferences or events in,55,5,13.79,0.008001831030247698,**,,,
ordinal (Kruskal-Wallis),Tenure (combined),"Right now, how do you generally feel about AI in WordPress?",68,5,13.79,0.008007844169981623,**,1-2 years,15+ years,1.09
ordinal (Kruskal-Wallis),Gender,Impact of my participation on my professional or personal life,38,4,11.82,0.008040649587317893,**,Prefer not to answer,Female,0.65
ordinal (Kruskal-Wallis),Event relationship,Participating in a language other than English,38,5,13.76,0.008105414139627733,**,"Never attended, would like to","Attend, multiple times a year",0.74
ordinal (Kruskal-Wallis),Pay status,Networking opportunities,57,3,9.6,0.00823896793119065,**,Unpaid,Paid directly,0.39
categorical (chi-square),Experienced hostility personally,Has your sentiment toward open source software changed over the past 24 months?,60,2,6.97,0.008269979712624668,**,,,
ordinal (Kruskal-Wallis),Participation level,Impact of my participation on my professional or personal life,38,6,15.54,0.008304145531773818,**,Inactive,Very active participation,0.79
ordinal (Kruskal-Wallis),Contribution type,"Right now, how do you feel overall about the WordPress open source project?",28,4,11.71,0.008432550003606484,**,No contribution work,Community and code work,0.42
ordinal (Kruskal-Wallis),Location,Open source values,34,2,6.9,0.008608000790590688,**,US,Non-US,0.18
ordinal (Kruskal-Wallis),Participation change,The WordPress community,34,5,13.6,0.008693906169162952,**,Significantly decreased,Significantly increased,0.53
categorical (chi-square),Location,"Which best describes your participation in unofficial, WordPress-adjacent in-person events",53,2,15.41,0.008732129203969334,**,,,
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,"Right now, how do you generally feel about open source software?",59,2,6.85,0.008877602116347232,**,No,Yes,0.14
ordinal (Kruskal-Wallis),Contributor identity,Events with smaller attendance,57,5,13.52,0.008995170608958113,**,Strongly agree,Disagree,0.49
ordinal (Kruskal-Wallis),Uses AI at work,Impact of my contributions to the project,38,2,6.81,0.009069159219448626,**,Does not use AI,Uses AI,0.28
categorical (chi-square),Experienced hostility personally,May we publicly cite and/or publish your free-written comments?,76,2,9.4,0.009090253423994889,**,,,
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,"Soft skill development (business development, personal development, etc.)",57,2,6.8,0.009114220970996281,**,Yes,No,0.27
ordinal (Kruskal-Wallis),Tenure (combined),"Right now, how do you generally feel about AI in the tech industry?",67,5,13.49,0.009119244535516567,**,1-2 years,6-10 years,1.02
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,"Right now, how do you generally feel about AI in WordPress?",68,2,6.79,0.00917675474674911,**,Yes,No,0.27
ordinal (Kruskal-Wallis),Community membership,Open source in WordPress,62,5,13.46,0.009237676128778467,**,Strongly disagree,Strongly agree,0.87
ordinal (Kruskal-Wallis),Gender,Open source in AI,62,4,11.43,0.009623578193085486,**,Prefer not to answer,Female,1.02
ordinal (Kruskal-Wallis),Income depends on WordPress,WordPress open source software,34,3,9.25,0.009820830673623262,**,No,Yes,0.25
ordinal (Kruskal-Wallis),Gender,"Cost of attendance (travel, housing, etc.)",57,4,11.36,0.009952903185379813,**,Prefer not to answer,Female,0.55
ordinal (Kruskal-Wallis),Experienced hostility personally,The WordPress community,34,2,6.63,0.010029188123477504,*,Did not experience,Experienced,0.23
ordinal (Kruskal-Wallis),Gender,Enterprise/scale issues,34,4,11.32,0.0101321208268877,*,Prefer not to answer,Female,0.77
ordinal (Kruskal-Wallis),Event relationship,Impact of my contributions to the project,38,5,13.24,0.010145090479229532,*,"Never attended, would like to","Attend, multiple times a year",0.47
ordinal (Kruskal-Wallis),Income depends on WordPress,Enterprise/scale issues,34,3,9.16,0.010258732149107191,*,No,Yes,0.4
ordinal (Kruskal-Wallis),Gender,"Right now, how do you generally feel about open source software?",59,4,11.28,0.010317904289175447,*,Female,Non-binary,0.44
ordinal (Kruskal-Wallis),Location,Contributing to WordPress,34,2,6.44,0.01114548127933617,*,US,Non-US,0.29
categorical (chi-square),Contribution type,Do you contribute to open source projects other than the WordPress open source project?,63,4,25.87,0.011198057513384608,*,,,
categorical (chi-square),Income depends on WordPress,What is your age?,1,3,22.81,0.01148662183189391,*,,,
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,Impact of my participation on my professional or personal life,38,2,6.37,0.011630044692873162,*,Yes,No,0.25
categorical (chi-square),Event relationship,Hostility or rudeness,46,5,25.63,0.01210624015630936,*,,,
ordinal (Kruskal-Wallis),Tenure (combined),Participating in a language other than English,38,5,12.82,0.012177198239519028,*,1-2 years,6-10 years,1.15
ordinal (Kruskal-Wallis),Contribution type,WordPress leadership,34,4,10.91,0.01222678605710583,*,Code / project work only,Community work only,0.34
ordinal (Kruskal-Wallis),Event relationship,WordPress open source software,34,5,12.8,0.012306292687050756,*,"Never attended, not interested","Attend, multiple times a year",0.31
ordinal (Kruskal-Wallis),Contributor identity,Feeling welcome/included,38,5,12.72,0.012730779326125114,*,Strongly disagree,Strongly agree,0.39
ordinal (Kruskal-Wallis),Income depends on WordPress,Events with larger attendance,57,3,8.71,0.012822745382384306,*,No,Partially,0.32
ordinal (Kruskal-Wallis),Pay status,Attending in-person WordPress-related events is important to me.,50,3,8.7,0.012928434718107526,*,Unpaid,Paid directly,0.43
ordinal (Kruskal-Wallis),Experienced hostility personally,Project governance/policies,38,2,6.15,0.013138658896391342,*,Did not experience,Experienced,0.25
categorical (chi-square),Location,Other (please describe),9,2,10.75,0.013181382693853553,*,,,
ordinal (Kruskal-Wallis),Income depends on WordPress,How do you feel about the future of the WordPress open source project?,31,3,8.65,0.013230353086943737,*,Partially,Yes,0.34
categorical (chi-square),Event relationship,"Do you contribute to or volunteer for organizations, projects or causes other than WordPre",64,5,31.0,0.013461357471788563,*,,,
categorical (chi-square),Income depends on WordPress,Language or content that made me or others feel unwelcome or excluded,46,3,15.96,0.013958724926044842,*,,,
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,I consider myself to be a contributor to the WordPress open source project.,19,2,6.04,0.013963967436637989,*,No,Yes,0.32
ordinal (Kruskal-Wallis),Experienced hostility personally,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",38,2,6.02,0.014140515315398764,*,Did not experience,Experienced,0.2
