question_number,column_role,export_column,response,count,pct_of_431,pct_of_answered,note
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participation in the WordPress community required)",Important,164,38.05,38.05,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participation in the WordPress community required)",Neutral,158,36.66,36.66,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participation in the WordPress community required)",Very Important,66,15.31,15.31,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participation in the WordPress community required)",Not Important,27,6.26,6.26,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participation in the WordPress community required)",Somewhat unimportant,16,3.71,3.71,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Feeling welcome/included required)",Very Important,169,39.21,39.21,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Feeling welcome/included required)",Important,160,37.12,37.12,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Feeling welcome/included required)",Neutral,77,17.87,17.87,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Feeling welcome/included required)",Not Important,15,3.48,3.48,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Feeling welcome/included required)",Somewhat unimportant,10,2.32,2.32,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participating in a language other than English required)",Neutral,151,35.03,35.03,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participating in a language other than English required)",Not Important,149,34.57,34.57,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participating in a language other than English required)",Important,58,13.46,13.46,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participating in a language other than English required)",Somewhat unimportant,46,10.67,10.67,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participating in a language other than English required)",Very Important,27,6.26,6.26,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Working asynchronously required)",Neutral,142,32.95,32.95,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Working asynchronously required)",Important,135,31.32,31.32,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Working asynchronously required)",Very Important,104,24.13,24.13,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Working asynchronously required)",Not Important,31,7.19,7.19,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Working asynchronously required)",Somewhat unimportant,19,4.41,4.41,
39,free text,What other factors are important to you when deciding how to participate in the WordPress open source project?,(free text - not published),61,14.15,,
40,free text,Have you ever sought or received help from others in the WordPress community related to participating or contributing?,(free text - not published),431,100.0,,
40,option,I asked for help in a public forum and received a useful response,I asked for help in a public forum and received a useful response,253,58.7,100.0,
40,option,I reached out directly to someone I know in the community and they helped me,I reached out directly to someone I know in the community and they helped me,217,50.35,100.0,
40,option,I found help through community documentation /guides / onboarding resources,I found help through community documentation /guides / onboarding resources,289,67.05,100.0,
40,option,I sought help but did not receive a useful response,I sought help but did not receive a useful response,60,13.92,100.0,
40,option,I wanted help but didn't feel comfortable asking,I wanted help but didn't feel comfortable asking,36,8.35,100.0,
40,option,I have not needed to seek this type of help,I have not needed to seek this type of help,82,19.03,100.0,
9,option,Other (please describe) (4),Other (please describe),8,1.86,100.0,
42,question,What made you uncomfortable asking for help?,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
41,free text,What type of help have you sought or received from others in the WordPress community related to participating or contributing?,(free text - not published),8,1.86,,
42,option,I didn't know who to ask,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
42,option,I was concerned about how my question would be received,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
42,option,I had experienced or witnessed negative interactions before,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
42,option,I felt like an outsider or newcomer,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
9,option,Other (please describe) (5),(no respondent selected this option),0,0.0,,question was displayed; no one chose it
43,question,What else made you uncomfortable asking for help?,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
44,question,Have you personally experienced any of the following when contributing to the WordPress community?,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
44,option,"Lack of response to my contributions, questions, or requests for help",(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
44,option,Contributions or ideas rejected without explanation,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
44,option,Dismissive or condescending responses to my contributions or questions,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
44,option,"Unclear, incomplete, or unwelcoming documentation or onboarding",(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
44,option,Difficulty finding where or how to get started,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
44,option,I have not encountered any of the above,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
9,option,Other (please describe) (6),(no respondent selected this option),0,0.0,,question was displayed; no one chose it
45,question,What issues have you personally encountered when contributing to the WordPress community?,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Hostility or rudeness required),Have not experienced/witnessed,162,37.59,37.59,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Hostility or rudeness required),Others,151,35.03,35.03,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Hostility or rudeness required),Both myself and others,100,23.2,23.2,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Hostility or rudeness required),Myself,18,4.18,4.18,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Dismissive or condescending responses to contributions or questions required),Others,153,35.5,35.5,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Dismissive or condescending responses to contributions or questions required),Have not experienced/witnessed,141,32.71,32.71,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Dismissive or condescending responses to contributions or questions required),Both myself and others,108,25.06,25.06,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Dismissive or condescending responses to contributions or questions required),Myself,29,6.73,6.73,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Name-calling or personal attacks required),Have not experienced/witnessed,213,49.42,49.42,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Name-calling or personal attacks required),Others,160,37.12,37.12,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Name-calling or personal attacks required),Both myself and others,43,9.98,9.98,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Name-calling or personal attacks required),Myself,15,3.48,3.48,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Harassment or targeted negative behavior required),Have not experienced/witnessed,209,48.49,48.49,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Harassment or targeted negative behavior required),Others,162,37.59,37.59,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Harassment or targeted negative behavior required),Both myself and others,47,10.9,10.9,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Harassment or targeted negative behavior required),Myself,13,3.02,3.02,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Conflict or ongoing interpersonal tension between community members required),Others,219,50.81,50.81,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Conflict or ongoing interpersonal tension between community members required),Have not experienced/witnessed,137,31.79,31.79,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Conflict or ongoing interpersonal tension between community members required),Both myself and others,57,13.23,13.23,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Conflict or ongoing interpersonal tension between community members required),Myself,18,4.18,4.18,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Language or content that made me or others feel unwelcome or excluded required),Have not experienced/witnessed,218,50.58,50.58,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Language or content that made me or others feel unwelcome or excluded required),Others,115,26.68,26.68,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Language or content that made me or others feel unwelcome or excluded required),Both myself and others,78,18.1,18.1,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Language or content that made me or others feel unwelcome or excluded required),Myself,20,4.64,4.64,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Problems with project leadership or governance required),Others,155,35.96,35.96,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Problems with project leadership or governance required),Both myself and others,134,31.09,31.09,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Problems with project leadership or governance required),Have not experienced/witnessed,115,26.68,26.68,
46,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Problems with project leadership or governance required),Myself,27,6.26,6.26,
9,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Other (please describe) required),Have not experienced/witnessed,370,85.85,85.85,
9,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Other (please describe) required),Others,34,7.89,7.89,
9,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Other (please describe) required),Both myself and others,14,3.25,3.25,
9,matrix row,Have you personally experienced or witnessed any of the following issues in the WordPress community? (Other (please describe) required),Myself,13,3.02,3.02,
47,free text,What other issues have you personally experienced or witnessed in the WordPress community?,(free text - not published),26,6.03,,
48,free text,"As a result of experiencing any of the above, are any of the following true for you?",(free text - not published),366,84.92,,
48,option,I stopped contributing to a project or team,I stopped contributing to a project or team,65,15.08,100.0,
48,option,I stepped back from community participation generally,I stepped back from community participation generally,136,31.55,100.0,
48,option,I moved my activity to other channels,I moved my activity to other channels,94,21.81,100.0,
48,option,I did not change my participation but it affected how I feel about my participation,I did not change my participation but it affected how I feel about my participation,107,24.83,100.0,
48,option,I filed a code of conduct report and it was resolved,I filed a code of conduct report and it was resolved,6,1.39,100.0,
48,option,I filed a code of conduct report and it was not resolved,I filed a code of conduct report and it was not resolved,14,3.25,100.0,
48,option,It did not change my participation,It did not change my participation,94,21.81,100.0,
9,option,Other (please describe) (7),Other (please describe),28,6.5,100.0,
49,free text,How did your experience above affect how you participate in the WordPress community?,(free text - not published),28,6.5,,
50,question,Attending in-person WordPress-related events is important to me.,Agree,109,25.29,25.29,
50,question,Attending in-person WordPress-related events is important to me.,Strongly agree,92,21.35,21.35,
50,question,Attending in-person WordPress-related events is important to me.,Strongly disagree,84,19.49,19.49,
50,question,Attending in-person WordPress-related events is important to me.,Neutral,78,18.1,18.1,
50,question,Attending in-person WordPress-related events is important to me.,Disagree,68,15.78,15.78,
51,question,Which best describes your participation in official WordPress open source project events (such as WordCamps and Meetups)?,I have not attended any WordPress events and I'm not interested in attending,120,27.84,27.84,
51,question,Which best describes your participation in official WordPress open source project events (such as WordCamps and Meetups)?,I used to participate in WordPress events but I no longer do,94,21.81,21.81,
51,question,Which best describes your participation in official WordPress open source project events (such as WordCamps and Meetups)?,I participate in WordPress events multiple times per year,91,21.11,21.11,
51,question,Which best describes your participation in official WordPress open source project events (such as WordCamps and Meetups)?,I participate in WordPress events annually or occasionally,90,20.88,20.88,
51,question,Which best describes your participation in official WordPress open source project events (such as WordCamps and Meetups)?,I have not attended any WordPress events but I'd like to or am planning to,28,6.5,6.5,
51,question,Which best describes your participation in official WordPress open source project events (such as WordCamps and Meetups)?,Other (please describe),8,1.86,1.86,
52,free text,Describe your participation in official WordPress open source project events:,(free text - not published),136,31.55,,
53,question,"Which best describes your participation in unofficial, WordPress-adjacent in-person events (such as PressConf or LoopConf)?",I have not attended any WordPress-adjacent in-person events and I'm not interested in attending,180,41.76,41.76,
53,question,"Which best describes your participation in unofficial, WordPress-adjacent in-person events (such as PressConf or LoopConf)?",I have not attended any WordPress-adjacent in-person events but I'd like to or am planning to,90,20.88,20.88,
53,question,"Which best describes your participation in unofficial, WordPress-adjacent in-person events (such as PressConf or LoopConf)?",I participate in WordPress-adjacent in-person events annually or occasionally.,76,17.63,17.63,
53,question,"Which best describes your participation in unofficial, WordPress-adjacent in-person events (such as PressConf or LoopConf)?","I used to participate in WordPress-adjacent in-person events, but I no longer do",51,11.83,11.83,
53,question,"Which best describes your participation in unofficial, WordPress-adjacent in-person events (such as PressConf or LoopConf)?",I participate in WordPress-adjacent in-person events multiple times per year,25,5.8,5.8,
53,question,"Which best describes your participation in unofficial, WordPress-adjacent in-person events (such as PressConf or LoopConf)?",Other (please describe),9,2.09,2.09,
54,free text,"Describe your participation in unofficial, WordPress-adjacent in-person events:",(free text - not published),4,0.93,,
55,question,Have you attended any other open source or tech-related in-person conferences or events in the past 24 months?,No,251,58.24,58.24,
55,question,Have you attended any other open source or tech-related in-person conferences or events in the past 24 months?,Yes,180,41.76,41.76,
56,free text,What other open source or tech-related in-person conferences or events have you attended?,(free text - not published),90,20.88,,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A location local to you required)",Important,164,38.05,38.05,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A location local to you required)",Very Important,120,27.84,27.84,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A location local to you required)",Neutral,87,20.19,20.19,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A location local to you required)",Somewhat unimportant,32,7.42,7.42,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A location local to you required)",Not Important,28,6.5,6.5,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A regional/destination location required)",Important,174,40.37,40.37,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A regional/destination location required)",Neutral,125,29.0,29.0,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A regional/destination location required)",Very Important,60,13.92,13.92,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A regional/destination location required)",Not Important,43,9.98,9.98,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A regional/destination location required)",Somewhat unimportant,29,6.73,6.73,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with smaller attendance required)",Neutral,216,50.12,50.12,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with smaller attendance required)",Important,91,21.11,21.11,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with smaller attendance required)",Not Important,57,13.23,13.23,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with smaller attendance required)",Somewhat unimportant,50,11.6,11.6,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with smaller attendance required)",Very Important,17,3.94,3.94,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with larger attendance required)",Neutral,222,51.51,51.51,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with larger attendance required)",Not Important,69,16.01,16.01,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with larger attendance required)",Somewhat unimportant,67,15.55,15.55,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with larger attendance required)",Important,61,14.15,14.15,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with larger attendance required)",Very Important,12,2.78,2.78,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Hard skill development (technical instruction, workshops, etc.) required)",Important,177,41.07,41.07,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Hard skill development (technical instruction, workshops, etc.) required)",Neutral,125,29.0,29.0,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Hard skill development (technical instruction, workshops, etc.) required)",Very Important,51,11.83,11.83,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Hard skill development (technical instruction, workshops, etc.) required)",Not Important,42,9.74,9.74,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Hard skill development (technical instruction, workshops, etc.) required)",Somewhat unimportant,36,8.35,8.35,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Soft skill development (business development, personal development, etc.) required)",Neutral,158,36.66,36.66,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Soft skill development (business development, personal development, etc.) required)",Important,137,31.79,31.79,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Soft skill development (business development, personal development, etc.) required)",Not Important,54,12.53,12.53,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Soft skill development (business development, personal development, etc.) required)",Somewhat unimportant,53,12.3,12.3,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Soft skill development (business development, personal development, etc.) required)",Very Important,29,6.73,6.73,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Topics of sessions / panels required)",Important,210,48.72,48.72,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Topics of sessions / panels required)",Neutral,93,21.58,21.58,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Topics of sessions / panels required)",Very Important,80,18.56,18.56,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Topics of sessions / panels required)",Not Important,26,6.03,6.03,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Topics of sessions / panels required)",Somewhat unimportant,22,5.1,5.1,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Particular speakers / keynotes required)",Neutral,170,39.44,39.44,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Particular speakers / keynotes required)",Important,134,31.09,31.09,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Particular speakers / keynotes required)",Somewhat unimportant,48,11.14,11.14,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Particular speakers / keynotes required)",Not Important,46,10.67,10.67,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Particular speakers / keynotes required)",Very Important,33,7.66,7.66,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Meeting professional development requirements required)",Neutral,169,39.21,39.21,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Meeting professional development requirements required)",Important,94,21.81,21.81,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Meeting professional development requirements required)",Not Important,90,20.88,20.88,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Meeting professional development requirements required)",Somewhat unimportant,48,11.14,11.14,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Meeting professional development requirements required)",Very Important,30,6.96,6.96,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Networking opportunities required)",Important,153,35.5,35.5,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Networking opportunities required)",Neutral,109,25.29,25.29,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Networking opportunities required)",Very Important,108,25.06,25.06,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Networking opportunities required)",Somewhat unimportant,31,7.19,7.19,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Networking opportunities required)",Not Important,30,6.96,6.96,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Community development/engagement required)",Important,186,43.16,43.16,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Community development/engagement required)",Neutral,115,26.68,26.68,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Community development/engagement required)",Very Important,79,18.33,18.33,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Community development/engagement required)",Not Important,29,6.73,6.73,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Community development/engagement required)",Somewhat unimportant,22,5.1,5.1,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of ticket required)",Important,159,36.89,36.89,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of ticket required)",Neutral,112,25.99,25.99,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of ticket required)",Very Important,76,17.63,17.63,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of ticket required)",Somewhat unimportant,46,10.67,10.67,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of ticket required)",Not Important,38,8.82,8.82,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of attendance (travel, housing, etc.) required)",Important,164,38.05,38.05,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of attendance (travel, housing, etc.) required)",Very Important,148,34.34,34.34,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of attendance (travel, housing, etc.) required)",Neutral,70,16.24,16.24,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of attendance (travel, housing, etc.) required)",Somewhat unimportant,27,6.26,6.26,
57,matrix row,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of attendance (travel, housing, etc.) required)",Not Important,22,5.1,5.1,
58,free text,What else is important to you when deciding to attend in-person conferences or events?,(free text - not published),56,12.99,,
59,question,"Right now, how do you generally feel about open source software?",Positive,182,42.23,42.23,
59,question,"Right now, how do you generally feel about open source software?",Very positive,170,39.44,39.44,
59,question,"Right now, how do you generally feel about open source software?",Neutral / Unsure,62,14.39,14.39,
59,question,"Right now, how do you generally feel about open source software?",Negative,13,3.02,3.02,
59,question,"Right now, how do you generally feel about open source software?",Very negative,4,0.93,0.93,
60,question,Has your sentiment toward open source software changed over the past 24 months?,No,292,67.75,67.75,
60,question,Has your sentiment toward open source software changed over the past 24 months?,Yes,139,32.25,32.25,
61,question,How has your sentiment toward open source software changed over the past 24 months?,I feel more negatively about open source software than I did 24 months ago,103,23.9,74.1,
61,question,How has your sentiment toward open source software changed over the past 24 months?,I feel more positively about open source software than I did 24 months ago,36,8.35,25.9,
62,matrix row,How important are the following to you? (Open source software required),Very Important,293,67.98,67.98,
62,matrix row,How important are the following to you? (Open source software required),Important,110,25.52,25.52,
62,matrix row,How important are the following to you? (Open source software required),Neutral,23,5.34,5.34,
62,matrix row,How important are the following to you? (Open source software required),Not Important,4,0.93,0.93,
62,matrix row,How important are the following to you? (Open source software required),Somewhat unimportant,1,0.23,0.23,
62,matrix row,How important are the following to you? (Open source values (whatever that means to you)required),Very Important,277,64.27,64.27,
62,matrix row,How important are the following to you? (Open source values (whatever that means to you)required),Important,119,27.61,27.61,
62,matrix row,How important are the following to you? (Open source values (whatever that means to you)required),Neutral,21,4.87,4.87,
62,matrix row,How important are the following to you? (Open source values (whatever that means to you)required),Not Important,7,1.62,1.62,
62,matrix row,How important are the following to you? (Open source values (whatever that means to you)required),Somewhat unimportant,7,1.62,1.62,
62,matrix row,How important are the following to you? (The sustainability of open source projects required),Very Important,287,66.59,66.59,
62,matrix row,How important are the following to you? (The sustainability of open source projects required),Important,115,26.68,26.68,
62,matrix row,How important are the following to you? (The sustainability of open source projects required),Neutral,24,5.57,5.57,
62,matrix row,How important are the following to you? (The sustainability of open source projects required),Not Important,4,0.93,0.93,
62,matrix row,How important are the following to you? (The sustainability of open source projects required),Somewhat unimportant,1,0.23,0.23,
62,matrix row,How important are the following to you? (Open source in WordPress required),Very Important,272,63.11,63.11,
62,matrix row,How important are the following to you? (Open source in WordPress required),Important,125,29.0,29.0,
62,matrix row,How important are the following to you? (Open source in WordPress required),Neutral,22,5.1,5.1,
62,matrix row,How important are the following to you? (Open source in WordPress required),Not Important,8,1.86,1.86,
62,matrix row,How important are the following to you? (Open source in WordPress required),Somewhat unimportant,4,0.93,0.93,
62,matrix row,How important are the following to you? (Open source in AI required),Very Important,118,27.38,27.38,
62,matrix row,How important are the following to you? (Open source in AI required),Not Important,104,24.13,24.13,
62,matrix row,How important are the following to you? (Open source in AI required),Important,98,22.74,22.74,
62,matrix row,How important are the following to you? (Open source in AI required),Neutral,89,20.65,20.65,
62,matrix row,How important are the following to you? (Open source in AI required),Somewhat unimportant,22,5.1,5.1,
63,question,Do you contribute to open source projects other than the WordPress open source project?,Yes occasionally,151,35.03,35.03,
63,question,Do you contribute to open source projects other than the WordPress open source project?,No and I don't plan to,117,27.15,27.15,
63,question,Do you contribute to open source projects other than the WordPress open source project?,Yes regularly,77,17.87,17.87,
63,question,Do you contribute to open source projects other than the WordPress open source project?,I'd like to in the future,57,13.23,13.23,
63,question,Do you contribute to open source projects other than the WordPress open source project?,I used to but have stopped,29,6.73,6.73,
64,question,"Do you contribute to or volunteer for organizations, projects or causes other than WordPress or open source projects?",Yes regularly,127,29.47,29.47,
64,question,"Do you contribute to or volunteer for organizations, projects or causes other than WordPress or open source projects?",Yes occasionally,124,28.77,28.77,
64,question,"Do you contribute to or volunteer for organizations, projects or causes other than WordPress or open source projects?",No and I don't plan to,89,20.65,20.65,
64,question,"Do you contribute to or volunteer for organizations, projects or causes other than WordPress or open source projects?",I'd like to in the future,55,12.76,12.76,
64,question,"Do you contribute to or volunteer for organizations, projects or causes other than WordPress or open source projects?",I used to but have stopped,36,8.35,8.35,
65,question,Are you currently using AI in your work?,Yes,308,71.46,71.46,
65,question,Are you currently using AI in your work?,No,123,28.54,28.54,
66,question,Describe how you are using AI in your work:,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
67,question,"Right now, how do you generally feel about AI in the tech industry?",Very negative,149,34.57,34.57,
67,question,"Right now, how do you generally feel about AI in the tech industry?",Neutral / Unsure,98,22.74,22.74,
67,question,"Right now, how do you generally feel about AI in the tech industry?",Positive,91,21.11,21.11,
67,question,"Right now, how do you generally feel about AI in the tech industry?",Negative,50,11.6,11.6,
67,question,"Right now, how do you generally feel about AI in the tech industry?",Very positive,43,9.98,9.98,
68,question,"Right now, how do you generally feel about AI in WordPress?",Very negative,157,36.43,36.43,
68,question,"Right now, how do you generally feel about AI in WordPress?",Neutral / Unsure,143,33.18,33.18,
68,question,"Right now, how do you generally feel about AI in WordPress?",Negative,58,13.46,13.46,
68,question,"Right now, how do you generally feel about AI in WordPress?",Positive,56,12.99,12.99,
68,question,"Right now, how do you generally feel about AI in WordPress?",Very positive,17,3.94,3.94,
69,question,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",Very negative,140,32.48,32.48,
69,question,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",Positive,95,22.04,22.04,
69,question,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",Neutral / Unsure,89,20.65,20.65,
69,question,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",Very positive,54,12.53,12.53,
69,question,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",Negative,53,12.3,12.3,
70,free text,How are you currently using AI in your work?,(free text - not published),308,71.46,,
70,option,Internal / external communications,Internal / external communications,157,36.43,100.0,
70,option,Writing / editing content,Writing / editing content,196,45.48,100.0,
70,option,Writing / reviewing code,Writing / reviewing code,241,55.92,100.0,
70,option,Design or image generation,Design or image generation,131,30.39,100.0,
70,option,Research or learning,Research or learning,241,55.92,100.0,
70,option,Project management,Project management,106,24.59,100.0,
